-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 03/31/2015 through 03/31/2021 
Location: Latitude  33.3605   Longitude 6.8347 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT     CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_KT
2015,3,31,0.73
2015,4,1,0.73
2015,4,2,0.73
2015,4,3,0.75
2015,4,4,0.64
2015,4,5,0.66
2015,4,6,0.52
2015,4,7,0.59
2015,4,8,0.76
2015,4,9,0.76
2015,4,10,0.74
2015,4,11,0.75
2015,4,12,0.74
2015,4,13,0.73
2015,4,14,0.74
2015,4,15,0.71
2015,4,16,0.62
2015,4,17,0.7
2015,4,18,0.51
2015,4,19,0.62
2015,4,20,0.64
2015,4,21,0.66
2015,4,22,0.59
2015,4,23,0.67
2015,4,24,0.69
2015,4,25,0.67
2015,4,26,0.63
2015,4,27,0.71
2015,4,28,0.77
2015,4,29,0.69
2015,4,30,0.68
2015,5,1,0.71
2015,5,2,0.7
2015,5,3,0.73
2015,5,4,0.74
2015,5,5,0.75
2015,5,6,0.73
2015,5,7,0.75
2015,5,8,0.73
2015,5,9,0.7
2015,5,10,0.77
2015,5,11,0.7
2015,5,12,0.69
2015,5,13,0.69
2015,5,14,0.71
2015,5,15,0.73
2015,5,16,0.73
2015,5,17,0.7
2015,5,18,0.7
2015,5,19,0.69
2015,5,20,0.33
2015,5,21,0.53
2015,5,22,0.71
2015,5,23,0.68
2015,5,24,0.63
2015,5,25,0.52
2015,5,26,0.63
2015,5,27,0.7
2015,5,28,0.68
2015,5,29,0.63
2015,5,30,0.62
2015,5,31,0.65
2015,6,1,0.66
2015,6,2,0.67
2015,6,3,0.72
2015,6,4,0.63
2015,6,5,0.71
2015,6,6,0.68
2015,6,7,0.67
2015,6,8,0.67
2015,6,9,0.68
2015,6,10,0.65
2015,6,11,0.62
2015,6,12,0.7
2015,6,13,0.65
2015,6,14,0.65
2015,6,15,0.69
2015,6,16,0.69
2015,6,17,0.69
2015,6,18,0.66
2015,6,19,0.66
2015,6,20,0.67
2015,6,21,0.7
2015,6,22,0.68
2015,6,23,0.68
2015,6,24,0.7
2015,6,25,0.59
2015,6,26,0.7
2015,6,27,0.69
2015,6,28,0.68
2015,6,29,0.69
2015,6,30,0.66
2015,7,1,0.68
2015,7,2,0.69
2015,7,3,0.69
2015,7,4,0.68
2015,7,5,0.68
2015,7,6,0.67
2015,7,7,0.67
2015,7,8,0.67
2015,7,9,0.67
2015,7,10,0.67
2015,7,11,0.71
2015,7,12,0.66
2015,7,13,0.66
2015,7,14,0.66
2015,7,15,0.67
2015,7,16,0.67
2015,7,17,0.66
2015,7,18,0.66
2015,7,19,0.66
2015,7,20,0.66
2015,7,21,0.66
2015,7,22,0.71
2015,7,23,0.68
2015,7,24,0.68
2015,7,25,0.69
2015,7,26,0.67
2015,7,27,0.73
2015,7,28,0.69
2015,7,29,0.68
2015,7,30,0.67
2015,7,31,0.65
2015,8,1,0.66
2015,8,2,0.66
2015,8,3,0.61
2015,8,4,0.67
2015,8,5,0.68
2015,8,6,0.7
2015,8,7,0.69
2015,8,8,0.67
2015,8,9,0.69
2015,8,10,0.55
2015,8,11,0.65
2015,8,12,0.68
2015,8,13,0.7
2015,8,14,0.45
2015,8,15,0.61
2015,8,16,0.63
2015,8,17,0.58
2015,8,18,0.65
2015,8,19,0.48
2015,8,20,0.68
2015,8,21,0.66
2015,8,22,0.68
2015,8,23,0.62
2015,8,24,0.66
2015,8,25,0.55
2015,8,26,0.64
2015,8,27,0.66
2015,8,28,0.66
2015,8,29,0.64
2015,8,30,0.6
2015,8,31,0.7
2015,9,1,0.68
2015,9,2,0.56
2015,9,3,0.6
2015,9,4,0.7
2015,9,5,0.48
2015,9,6,0.45
2015,9,7,0.62
2015,9,8,0.26
2015,9,9,0.62
2015,9,10,0.71
2015,9,11,0.68
2015,9,12,0.69
2015,9,13,0.66
2015,9,14,0.66
2015,9,15,0.69
2015,9,16,0.7
2015,9,17,0.68
2015,9,18,0.64
2015,9,19,0.66
2015,9,20,0.66
2015,9,21,0.62
2015,9,22,0.7
2015,9,23,0.7
2015,9,24,0.41
2015,9,25,0.66
2015,9,26,0.66
2015,9,27,0.68
2015,9,28,0.68
2015,9,29,0.62
2015,9,30,0.53
2015,10,1,0.71
2015,10,2,0.71
2015,10,3,0.7
2015,10,4,0.66
2015,10,5,0.66
2015,10,6,0.66
2015,10,7,0.7
2015,10,8,0.66
2015,10,9,0.27
2015,10,10,0.72
2015,10,11,0.67
2015,10,12,0.72
2015,10,13,0.68
2015,10,14,0.64
2015,10,15,0.66
2015,10,16,0.7
2015,10,17,0.65
2015,10,18,0.69
2015,10,19,0.59
2015,10,20,0.3
2015,10,21,0.52
2015,10,22,0.7
2015,10,23,0.7
2015,10,24,0.63
2015,10,25,0.66
2015,10,26,0.55
2015,10,27,0.53
2015,10,28,0.64
2015,10,29,0.68
2015,10,30,0.67
2015,10,31,0.68
2015,11,1,0.66
2015,11,2,0.61
2015,11,3,0.54
2015,11,4,0.53
2015,11,5,0.55
2015,11,6,0.66
2015,11,7,0.62
2015,11,8,0.67
2015,11,9,0.66
2015,11,10,0.65
2015,11,11,0.65
2015,11,12,0.67
2015,11,13,0.59
2015,11,14,0.67
2015,11,15,0.7
2015,11,16,0.68
2015,11,17,0.67
2015,11,18,0.67
2015,11,19,0.66
2015,11,20,0.68
2015,11,21,0.7
2015,11,22,0.61
2015,11,23,0.51
2015,11,24,0.66
2015,11,25,0.73
2015,11,26,0.7
2015,11,27,0.66
2015,11,28,0.7
2015,11,29,0.69
2015,11,30,0.73
2015,12,1,0.7
2015,12,2,0.72
2015,12,3,0.62
2015,12,4,0.48
2015,12,5,0.63
2015,12,6,0.67
2015,12,7,0.64
2015,12,8,0.66
2015,12,9,0.62
2015,12,10,0.55
2015,12,11,0.68
2015,12,12,0.7
2015,12,13,0.66
2015,12,14,0.67
2015,12,15,0.66
2015,12,16,0.67
2015,12,17,0.65
2015,12,18,0.64
2015,12,19,0.63
2015,12,20,0.66
2015,12,21,0.64
2015,12,22,0.66
2015,12,23,0.66
2015,12,24,0.36
2015,12,25,0.52
2015,12,26,0.59
2015,12,27,0.66
2015,12,28,0.48
2015,12,29,0.48
2015,12,30,0.7
2015,12,31,0.64
2016,1,1,0.65
2016,1,2,0.7
2016,1,3,0.65
2016,1,4,0.67
2016,1,5,0.7
2016,1,6,0.58
2016,1,7,0.7
2016,1,8,0.59
2016,1,9,0.3
2016,1,10,0.71
2016,1,11,0.7
2016,1,12,0.73
2016,1,13,0.71
2016,1,14,0.64
2016,1,15,0.69
2016,1,16,0.69
2016,1,17,0.74
2016,1,18,0.67
2016,1,19,0.71
2016,1,20,0.66
2016,1,21,0.66
2016,1,22,0.68
2016,1,23,0.67
2016,1,24,0.7
2016,1,25,0.72
2016,1,26,0.73
2016,1,27,0.72
2016,1,28,0.44
2016,1,29,0.69
2016,1,30,0.55
2016,1,31,0.64
2016,2,1,0.7
2016,2,2,0.7
2016,2,3,0.71
2016,2,4,0.52
2016,2,5,0.76
2016,2,6,0.64
2016,2,7,0.62
2016,2,8,0.75
2016,2,9,0.7
2016,2,10,0.71
2016,2,11,0.7
2016,2,12,0.68
2016,2,13,0.48
2016,2,14,0.61
2016,2,15,0.55
2016,2,16,0.75
2016,2,17,0.73
2016,2,18,0.76
2016,2,19,0.77
2016,2,20,0.67
2016,2,21,0.57
2016,2,22,0.39
2016,2,23,0.62
2016,2,24,0.69
2016,2,25,0.72
2016,2,26,0.77
2016,2,27,0.59
2016,2,28,0.72
2016,2,29,0.73
2016,3,1,0.7
2016,3,2,0.72
2016,3,3,0.73
2016,3,4,0.72
2016,3,5,0.68
2016,3,6,0.78
2016,3,7,0.78
2016,3,8,0.44
2016,3,9,0.77
2016,3,10,0.34
2016,3,11,0.68
2016,3,12,0.7
2016,3,13,0.71
2016,3,14,0.7
2016,3,15,0.73
2016,3,16,0.7
2016,3,17,0.68
2016,3,18,0.73
2016,3,19,0.63
2016,3,20,0.68
2016,3,21,0.63
2016,3,22,0.61
2016,3,23,0.73
2016,3,24,0.74
2016,3,25,0.74
2016,3,26,0.71
2016,3,27,0.76
2016,3,28,0.68
2016,3,29,0.75
2016,3,30,0.73
2016,3,31,0.48
2016,4,1,0.3
2016,4,2,0.6
2016,4,3,0.67
2016,4,4,0.71
2016,4,5,0.55
2016,4,6,0.56
2016,4,7,0.62
2016,4,8,0.67
2016,4,9,0.78
2016,4,10,0.74
2016,4,11,0.74
2016,4,12,0.7
2016,4,13,0.73
2016,4,14,0.75
2016,4,15,0.71
2016,4,16,0.74
2016,4,17,0.7
2016,4,18,0.73
2016,4,19,0.62
2016,4,20,0.72
2016,4,21,0.66
2016,4,22,0.52
2016,4,23,0.7
2016,4,24,0.67
2016,4,25,0.74
2016,4,26,0.66
2016,4,27,0.7
2016,4,28,0.71
2016,4,29,0.57
2016,4,30,0.55
2016,5,1,0.68
2016,5,2,0.78
2016,5,3,0.79
2016,5,4,0.75
2016,5,5,0.45
2016,5,6,0.65
2016,5,7,0.67
2016,5,8,0.71
2016,5,9,0.65
2016,5,10,0.58
2016,5,11,0.49
2016,5,12,0.69
2016,5,13,0.69
2016,5,14,0.77
2016,5,15,0.73
2016,5,16,0.73
2016,5,17,0.7
2016,5,18,0.62
2016,5,19,0.56
2016,5,20,0.75
2016,5,21,0.7
2016,5,22,0.7
2016,5,23,0.74
2016,5,24,0.71
2016,5,25,0.7
2016,5,26,0.7
2016,5,27,0.69
2016,5,28,0.58
2016,5,29,0.68
2016,5,30,0.57
2016,5,31,0.38
2016,6,1,0.67
2016,6,2,0.67
2016,6,3,0.67
2016,6,4,0.67
2016,6,5,0.55
2016,6,6,0.65
2016,6,7,0.67
2016,6,8,0.66
2016,6,9,0.7
2016,6,10,0.69
2016,6,11,0.66
2016,6,12,0.6
2016,6,13,0.66
2016,6,14,0.7
2016,6,15,0.7
2016,6,16,0.58
2016,6,17,0.63
2016,6,18,0.65
2016,6,19,0.72
2016,6,20,0.7
2016,6,21,0.73
2016,6,22,0.71
2016,6,23,0.7
2016,6,24,0.7
2016,6,25,0.7
2016,6,26,0.72
2016,6,27,0.7
2016,6,28,0.43
2016,6,29,0.62
2016,6,30,0.68
2016,7,1,0.7
2016,7,2,0.68
2016,7,3,0.67
2016,7,4,0.64
2016,7,5,0.66
2016,7,6,0.67
2016,7,7,0.66
2016,7,8,0.68
2016,7,9,0.69
2016,7,10,0.7
2016,7,11,0.68
2016,7,12,0.69
2016,7,13,0.69
2016,7,14,0.68
2016,7,15,0.66
2016,7,16,0.66
2016,7,17,0.68
2016,7,18,0.68
2016,7,19,0.7
2016,7,20,0.7
2016,7,21,0.7
2016,7,22,0.69
2016,7,23,0.69
2016,7,24,0.69
2016,7,25,0.66
2016,7,26,0.65
2016,7,27,0.69
2016,7,28,0.66
2016,7,29,0.67
2016,7,30,0.67
2016,7,31,0.68
2016,8,1,0.7
2016,8,2,0.69
2016,8,3,0.68
2016,8,4,0.7
2016,8,5,0.7
2016,8,6,0.69
2016,8,7,0.68
2016,8,8,0.66
2016,8,9,0.65
2016,8,10,0.65
2016,8,11,0.4
2016,8,12,0.61
2016,8,13,0.66
2016,8,14,0.7
2016,8,15,0.71
2016,8,16,0.71
2016,8,17,0.67
2016,8,18,0.67
2016,8,19,0.7
2016,8,20,0.71
2016,8,21,0.67
2016,8,22,0.7
2016,8,23,0.68
