Month,T2M_Mean,T2M_StdDev,T2M_IQR,QV2M_Mean,QV2M_StdDev,QV2M_IQR,WS2M_Mean,WS2M_StdDev,WS2M_IQR,RH2M_Mean,RH2M_StdDev,RH2M_IQR,PRECTOTCORR_Mean,PRECTOTCORR_StdDev,PRECTOTCORR_IQR,PS_Mean,PS_StdDev,PS_IQR,rn_daily_Mean,rn_daily_StdDev,rn_daily_IQR,ALLSKY_KT_Mean,ALLSKY_KT_StdDev,ALLSKY_KT_IQR,GWETTOP_Mean,GWETTOP_StdDev,GWETTOP_IQR
1,9.962127659574469,2.3254055467547836,2.7299999999999986,4.228670212765958,0.9156394205214127,1.295,2.6566489361702126,1.214194983922607,1.2399999999999998,57.58117021276596,9.853267582164754,13.8275,0.03787234042553191,0.1323532167732052,0.0,101.39553191489362,0.6447511098310701,0.9350000000000023,0.2851785586822237,0.03478973292589975,0.03446709677419352,0.6619148936170213,0.08074885599752114,0.07999999999999996,0.1326063829787234,0.023878353961626297,0.020000000000000018
2,12.369345238095239,2.5125770199726323,3.5275,4.212083333333333,1.1707737623447196,1.6400000000000001,2.7770833333333336,1.320377533638514,1.6724999999999999,49.29279761904762,11.702832756289006,16.1575,0.11041666666666668,0.6173415616920792,0.0,101.32125,0.6988529417064395,0.9224999999999994,0.4843379081632652,0.07553776162752802,0.08670857142857147,0.6702976190476191,0.10454019995901469,0.12,0.13017857142857142,0.03636925091774945,0.009999999999999995
3,15.791021505376344,2.4682784304745344,3.4700000000000006,4.419032258064516,1.220608678037207,1.65,3.37505376344086,1.7625801871156919,1.9699999999999998,42.494731182795704,12.392889686921759,16.4375,0.25193548387096776,1.0447756858067705,0.02,100.88483870967742,0.5983989682445687,0.8024999999999949,0.5026818730489073,0.08792716794188414,0.0821438709677419,0.6578494623655914,0.11506848219344852,0.10749999999999993,0.12876344086021504,0.035306809036115126,0.0475
4,20.86788888888889,3.299864562802047,5.012500000000003,5.560722222222222,1.4051048313961885,2.0250000000000004,3.4623333333333335,1.4647523862662335,1.8175,38.89477777777778,10.193189722070219,12.842500000000001,0.3625,2.141706069531521,0.0,100.61494444444443,0.5922172117953204,0.7724999999999937,0.6413326666666667,0.09889573289482446,0.09623999999999988,0.6663888888888889,0.10275948970783924,0.09999999999999998,0.13577777777777778,0.03537438323769828,0.03
5,25.948118279569893,3.310526406576002,4.112500000000004,6.390430107526881,1.6284669719931133,2.2300000000000004,3.6594623655913976,1.6648846177642125,2.1,33.40096774193548,10.41248767581282,12.224999999999998,0.24844086021505377,1.3692816184180794,0.0,100.5725806451613,0.4448574705867904,0.5525000000000091,0.5895382101977107,0.08464563582471815,0.09625064516129034,0.6584408602150538,0.0945386478803236,0.10750000000000004,0.11435483870967741,0.033801693596236346,0.03
6,30.631777777777778,2.9455543920624487,3.849999999999998,7.137166666666667,1.354654411803614,1.8299999999999992,3.645277777777778,1.3299449438579625,1.7075,28.462888888888887,7.7551222567175335,10.655000000000001,0.025,0.1509393307400222,0.0,100.50111111111111,0.3574629548941575,0.4724999999999966,0.6713039999999999,0.05757407712760117,0.039839999999999876,0.6739999999999999,0.05780529832088477,0.039999999999999925,0.09611111111111112,0.017509419297100166,0.020000000000000004
7,33.785000000000004,2.5456849022653283,3.7875000000000014,7.410698924731183,1.5172671184942033,2.26,3.2925806451612902,1.015925516769495,1.3975,24.628225806451614,6.8277444000181395,10.485,0.0010215053763440861,0.00760722060210956,0.0,100.52010752688173,0.2728111697152793,0.37999999999999545,0.6719733402705516,0.028228042389083316,0.029578064516128988,0.6815591397849462,0.02863071960677853,0.029999999999999916,0.08043010752688172,0.009347811247747272,0.01999999999999999
8,33.14682795698925,2.351741423199529,2.9224999999999994,8.638333333333334,1.9505926796237611,2.7799999999999994,3.0562903225806455,1.0906208009539375,1.5524999999999998,29.4502688172043,8.725383624048069,13.532499999999999,0.04908602150537634,0.2261707633225918,0.0,100.57198924731182,0.22850352151162398,0.2575000000000074,0.6586779396462019,0.05142214306972151,0.03925161290322576,0.6712365591397849,0.052402578407671506,0.039999999999999925,0.08419354838709678,0.018118085970454525,0.01999999999999999
9,29.175111111111114,2.823453349074674,3.2624999999999993,8.887333333333334,1.9761628639371984,2.7249999999999996,2.939944444444444,1.166163790264109,1.54,37.52361111111111,9.738385017699212,13.517499999999998,0.2655,0.9778429544540466,0.01,100.75377777777778,0.29956048914076205,0.4399999999999977,0.5331941333333333,0.06680747557862687,0.05994299999999997,0.6448888888888888,0.08080246199640406,0.07250000000000001,0.10661111111111111,0.02697327228485541,0.020000000000000004
10,22.986397849462367,2.95576933467061,4.302499999999998,7.406505376344086,1.729330800885087,2.3325000000000005,2.4761290322580645,1.121268617678391,1.2025000000000001,44.135376344086026,9.606424264777026,13.074999999999996,0.2163440860215054,0.9776190436352751,0.01,100.89930107526882,0.4586148896098016,0.6099999999999994,0.38919458896982306,0.048121944917095746,0.03567483870967736,0.6545698924731183,0.0809342606570078,0.05999999999999994,0.11876344086021505,0.027628382527203003,0.03
11,15.81761111111111,2.804211988394155,3.9250000000000007,5.718166666666667,1.3242636722884975,1.8899999999999997,2.6087777777777776,1.3120233236257846,2.0124999999999993,52.875277777777775,10.226394179339815,14.324999999999996,0.3401111111111111,2.4459947854357034,0.01,101.09833333333334,0.5366131113613563,0.7650000000000006,0.30189226666666663,0.04813661415837639,0.03880800000000001,0.6417777777777778,0.10233123758158247,0.08250000000000002,0.1325,0.042477401155656264,0.020000000000000004
